TEFF_early.vs.BL	TEFF_late.vs.BL	TREG_early.vs.BL	TREG_late.vs.BL
ATG2A	0	1	0	0
ATG7	0	0	1	0
ATL2	0	0	1	0
ATM	0	0	1	1
ATP11C	0	1	0	0
ATP13A1	0	0	1	0
ATP13A3	0	0	1	0
ATP2A3	0	0	1	0
ATP2B1	0	0	1	0
ATP2C1	0	0	0	1
ATP5F1A	0	0	1	0
ATP5IF1	0	0	1	0
ATP5MC2	0	0	1	0
ATP5MF	0	1	0	0
ATP5MG	0	0	1	0
ATP6V0B	0	0	1	0
ATP6V0D1	0	0	1	0
ATP6V0E2	0	0	1	0
ATP6V1B2	0	0	1	0
ATP6V1C1	0	0	0	1
ATP6V1E1	0	0	1	0
ATP6V1G1	0	0	1	0
ATP6V1H	0	0	1	0
ATP8B2	0	0	1	0
ATXN7L1	0	0	1	0
ATXN7L3B	1	0	1	0
AUTS2	0	0	1	0
B2M	0	0	1	0
B3GALNT2	0	1	0	0
B3GALT4	0	0	1	0
B3GALT6	0	0	1	0
B3GNT5	0	0	1	0
BACH1	0	0	0	1
BAG3	0	0	0	1
BAG5	1	0	0	0
BAK1	0	0	1	0
BANP	0	1	0	0
BASP1	0	0	1	1
BATF	0	0	0	1
BAX	0	0	1	0
BAZ1B	0	0	0	1
BAZ2A	1	1	1	0
BCAS2	0	0	1	0
BCDIN3D	0	0	1	0
BCKDK	0	0	1	0
BCL11B	0	0	1	0
BCL2	0	0	1	0
BCL2A1	0	0	1	0
BCL2L15	0	0	0	1
BCL9L	0	0	1	0
BCS1L	1	0	1	0
BDH2	0	0	1	0
BEST1	0	0	1	0
BEX3	0	0	1	0
BFAR	0	0	1	0
BHLHE40	0	0	1	0
BICRAL	1	0	0	0
BID	0	0	1	0
BIN1	0	0	1	0
BIN2	0	0	1	0
BIN3	1	0	1	0
BIVM	0	0	1	0
BLVRA	1	0	0	0
BMPR2	0	1	1	0
BMS1P4	0	0	1	1
BNIP3	0	0	1	0
BNIP3L	0	0	0	1
BOD1L1	1	0	0	0
BOP1	0	0	1	0
BPGM	0	0	1	0
BRAF	0	0	1	0
BRCC3	0	1	1	0
BRI3BP	0	0	1	0
BRMS1L	0	1	0	0
BST1	0	0	1	0
BST2	0	0	0	1
BTF3	0	0	1	0
BTN3A1	0	0	1	0
BTN3A2	0	0	1	0
BTN3A3	0	0	1	0
BUB3	0	0	1	0
C11orf1	0	0	1	0
C11orf21	0	0	1	0
C11orf98	0	0	1	0
C12orf43	0	0	1	0
C12orf49	0	0	0	1
C13orf46	0	0	1	0
C14orf119	0	0	1	0
C15orf39	0	0	1	1
C15orf40	0	0	1	0
C17orf113	0	0	1	0
C18orf25	0	0	0	1
C19orf53	0	0	1	0
C1GALT1	0	0	0	1
C1orf35	0	0	0	1
C1QTNF6	0	0	1	1
C20orf27	0	0	1	0
C2orf69	1	1	0	0
C3	0	0	1	0
C3orf33	0	0	1	0
C3orf62	0	1	0	0
C4orf33	1	0	0	0
C4orf46	0	0	0	1
C5AR1	0	0	1	0
C5orf15	0	0	1	0
C5orf24	0	0	1	0
C6orf120	0	0	1	0
C9orf16	0	0	1	0
C9orf72	0	0	1	0
C9orf78	0	0	1	0
CACUL1	0	0	1	0
CALCOCO1	1	0	1	0
CALM1	0	0	1	0
CALM3	0	0	1	0
CALR	0	0	1	0
CAMK1D	0	0	1	0
CAMK2G	1	0	1	0
CAMKK1	0	0	1	0
CAMKK2	0	0	1	0
CAMTA1	1	0	0	0
CANX	0	0	1	0
CAPG	0	0	1	0
CAPN1	0	0	1	0
CAPRIN2	1	0	1	0
CAPZA2	0	1	0	1
CARD19	0	0	1	0
CARD8	0	0	1	0
CARF	0	0	1	1
CARHSP1	0	0	1	0
CARS2	0	0	1	0
CASC3	1	0	0	0
CASP4	0	0	1	0
CASP8	0	0	1	0
CASP9	0	0	0	1
CATSPERG	1	0	0	0
CBL	0	0	1	0
CBLB	0	0	1	0
CBLL1	0	0	1	0
CBR4	0	0	0	1
CBWD2	1	0	1	0
CBX3	0	0	1	0
CBX4	0	0	1	0
CCDC117	0	0	0	1
CCDC137	0	0	0	1
CCDC14	0	0	1	1
CCDC142	0	0	1	0
CCDC150	0	0	1	0
CCDC159	0	0	1	0
CCDC180	0	0	1	0
CCDC28A	0	0	1	0
CCDC30	0	0	0	1
CCDC32	0	0	1	0
CCDC50	0	0	1	0
CCDC69	0	0	1	0
CCDC7	0	0	1	0
CCDC82	0	0	1	0
CCDC85C	0	1	0	0
CCDC88A	0	0	1	0
CCDC88B	1	0	1	1
CCL28	0	0	1	1
CCL3	1	0	1	0
CCL3L3	0	0	1	1
CCL4	0	0	1	0
CCL4L2	1	0	1	1
CCL5	0	0	1	0
CCM2	0	0	1	0
CCNB1IP1	1	0	0	0
CCND2	0	0	0	1
CCNDBP1	0	0	1	0
CCNG1	0	0	1	0
CCNG2	1	0	1	0
CCNH	0	0	1	0
CCNI	0	0	1	0
CCNJL	1	1	0	0
CCNQ	0	0	1	0
CCNY	0	0	1	1
CCR1	0	0	1	0
CCR6	0	0	1	0
CCRL2	0	0	1	0
CCT3	0	0	0	1
CD14	0	0	1	0
CD163	0	0	1	0
CD2	0	0	1	0
CD22	1	0	1	0
CD247	0	0	1	0
CD27	0	0	1	0
CD2BP2	1	1	1	0
CD300E	0	0	1	0
CD302	0	0	1	0
CD36	0	0	1	0
CD37	0	0	1	0
CD38	0	0	1	1
CD3D	0	0	1	0
CD3E	0	0	1	0
CD3G	0	0	1	0
CD44	0	0	1	1
CD47	0	0	1	0
CD48	0	0	1	0
CD5	0	0	1	0
CD52	0	0	1	0
CD53	0	0	1	0
CD59	0	0	1	0
CD63	0	0	1	0
CD68	0	0	1	0
CD74	0	0	1	1
CD79A	0	0	1	1
CD81	1	0	0	0
CD83	0	0	1	0
CD84	1	0	0	0
CD86	0	0	1	0
CD8A	0	0	1	0
CD96	0	0	1	0
CD99L2	0	0	0	1
CDC16	0	0	1	0
CDC25B	0	0	1	0
CDC26	0	0	1	0
CDC42	0	0	0	1
CDC42EP3	0	0	1	1
CDC42SE1	0	0	1	0
CDCA4	0	0	1	0
CDK5RAP2	0	0	0	1
CDK5RAP3	0	0	1	1
CDKL5	0	0	1	0
CEACAM1	0	0	1	0
CEACAM4	0	0	1	0
CEBPB	0	0	1	0
CEBPD	0	0	1	0
CELF1	0	0	1	0
CENPBD1P1	0	0	1	0
CENPC	0	0	1	0
CENPK	0	0	1	0
CENPT	1	0	0	0
CENPU	0	0	1	0
CEP112	0	0	1	0
CEP164	0	0	1	0
CEP170	0	0	1	0
CEP192	0	0	0	1
CEP295	0	1	0	0
CEP68	0	0	1	0
CEP97	0	1	0	0
CEPT1	0	1	0	0
CERS2	0	0	1	0
CERS4	1	0	1	1
CES4A	0	0	0	1
CFAP97	0	0	1	0
CFD	0	0	1	0
CFL1	0	0	0	1
CFP	0	0	1	0
CGGBP1	0	0	1	0
CGRRF1	0	0	1	0
CHAF1B	0	0	0	1
CHCHD3	0	1	0	0
CHCHD7	0	0	1	0
CHKB	1	0	1	0
CHKB-CPT1B	0	0	1	0
CHMP1B	0	0	0	1
CHMP5	0	0	0	1
CHMP7	0	0	1	0
CHN1	0	0	1	0
CHPT1	0	0	1	0
CHRAC1	1	1	0	0
CHST2	0	0	1	0
CHSY1	0	0	1	0
CHTF18	0	0	1	0
CHTF8	0	0	0	1
CIITA	1	0	0	0
CISD2	1	0	0	0
CISH	0	1	0	1
CIZ1	0	0	1	0
CKAP4	0	0	1	0
CLASP2	0	0	1	0
CLCN3	1	0	0	0
