TEFF_early.vs.BL	TEFF_late.vs.BL	TREG_early.vs.BL	TREG_late.vs.BL
GTF3C6	0	0	1	0
GUSBP3	0	0	0	1
GVINP1	0	0	1	0
GYPC	0	0	1	0
H1-2	0	0	1	0
H1-4	1	0	0	0
H2AC11	1	0	0	0
H2AJ	0	0	1	0
H2BC15	0	0	1	0
HACD1	0	0	1	0
HACD2	0	0	1	0
HACE1	0	1	0	0
HACL1	0	0	1	0
HAPLN3	0	0	1	0
HAT1	1	0	0	0
HAUS1	0	0	1	0
HAUS3	0	0	1	0
HAUS6	0	0	1	1
HAUS7	0	0	1	0
HAVCR2	0	0	1	0
HBEGF	0	0	1	0
HCAR2	0	0	1	0
HCAR3	0	0	1	0
HCK	0	0	1	0
HCLS1	0	0	1	0
HDAC10	0	0	1	0
HDAC6	0	0	0	1
HDAC7	0	0	1	0
HDGFL3	0	0	1	0
HDLBP	0	0	1	0
HEATR5B	0	0	1	0
HEATR6	1	0	1	1
HECTD1	0	0	1	1
HELB	0	0	0	1
HELLS	1	0	0	0
HELZ2	0	1	0	1
HEMK1	0	0	1	0
HERC2P2	0	0	1	0
HERC2P5	0	0	1	0
HERC2P9	1	0	1	0
HERC5	0	1	0	0
HERC6	0	1	0	1
HERPUD2	0	1	0	1
HEXA	1	0	1	0
HEXB	0	0	1	0
HEXD	1	0	1	0
HIF1A	0	0	1	0
HIGD2A	0	0	1	0
HIKESHI	0	0	1	0
HINT1	0	0	1	0
HINT2	0	0	1	0
HIRIP3	0	0	1	0
HIVEP2	0	0	0	1
HK2	0	0	1	0
HK3	0	0	1	0
HLA-A	0	0	1	0
HLA-DMB	0	0	1	1
HLA-DOA	1	0	0	1
HLA-DPA1	0	0	1	1
HLA-DRA	0	0	1	0
HLA-DRB1	0	0	1	0
HLA-E	0	0	1	1
HLA-L	0	0	1	0
HLCS	0	0	0	1
HM13	0	0	1	1
HMCES	0	1	1	0
HMCN2	0	0	1	0
HMG20A	0	0	0	1
HMGCR	0	0	1	0
HMGN2	1	0	0	0
HMGXB4	1	0	0	0
HMOX1	0	0	1	0
HNRNPC	0	0	0	1
HOOK3	0	0	1	0
HPRT1	0	0	1	0
HPS1	0	0	1	0
HS3ST3B1	0	0	0	1
HS6ST1	0	0	1	0
HSBP1	0	0	1	0
HSBP1L1	0	0	1	0
HSD17B12	0	0	1	0
HSD17B4	0	0	1	1
HSH2D	1	0	0	0
HSP90AA1	0	1	0	0
HSP90B1	0	0	1	0
HSPA1A	0	0	0	1
HSPB11	0	0	1	0
HSPBP1	1	0	1	0
HSPE1	0	0	1	0
HTRA2	1	0	0	0
HVCN1	1	0	0	0
HYPK	0	1	0	0
IBA57	0	0	1	0
ICA1	0	0	1	0
ICAM1	0	0	1	0
ICAM2	0	0	1	0
ICAM3	0	0	1	0
ICOS	0	0	1	1
ID2	0	0	1	0
IDH3A	0	0	1	0
IDI1	0	0	1	0
IDUA	0	0	1	0
IER3	0	0	1	0
IFFO1	1	0	0	0
IFFO2	0	0	0	1
IFI30	0	0	1	0
IFI44	0	0	0	1
IFI6	0	0	0	1
IFIH1	0	1	0	1
IFIT2	1	1	1	1
IFIT3	1	1	1	1
IFIT5	1	1	0	1
IFITM3	0	0	1	0
IFNAR2	0	0	1	0
IFNGR1	0	0	1	0
IFNGR2	0	0	1	0
IFT20	0	0	0	1
IFT52	1	0	0	0
IGBP1	0	0	1	0
IGFLR1	0	0	1	0
IGHG1	1	0	0	0
IGHG3	1	0	0	0
IGHM	1	0	1	0
IGHV3-23	1	0	0	0
IGKC	1	0	0	0
IGKV3-20	1	0	0	0
IGLC2	1	0	0	0
IGSF6	0	0	1	0
IKBKB	1	0	0	0
IKBKE	0	0	1	0
IKZF2	0	0	1	0
IKZF4	0	0	1	0
IL10	0	0	1	0
IL10RA	0	0	1	0
IL11RA	0	0	1	0
IL12RB1	0	0	1	0
IL13RA1	0	0	1	0
IL16	0	0	1	0
IL18R1	1	0	1	0
IL1B	1	0	1	0
IL1RN	1	0	1	0
IL21R	0	0	0	1
IL2RA	0	0	1	0
IL2RB	0	0	1	0
IL2RG	0	0	1	0
IL32	0	0	1	0
IL7	0	0	0	1
IL7R	0	0	1	0
IMPA2	0	0	1	0
IMPDH1	0	0	1	0
INO80C	0	0	1	1
INPP5A	0	0	1	0
INPP5D	0	0	1	0
INPP5K	0	0	1	0
INSIG1	0	0	1	1
INTS1	0	0	1	0
INTS7	0	0	1	0
IPCEF1	0	0	1	0
IPMK	0	0	1	0
IPO11	0	0	1	0
IPO5	0	0	1	1
IRAK1	0	0	1	0
IRAK2	0	0	1	0
IRAK3	0	0	1	0
IRAK4	1	0	1	0
IREB2	0	1	0	1
IRF2	0	0	1	0
IRF4	0	0	0	1
IRF7	0	0	0	1
IRF8	0	0	1	1
IRF9	0	0	0	1
IRGQ	0	0	1	0
ISCA1	0	0	1	0
ISG15	0	1	0	1
ISG20	0	0	1	0
ITGA4	0	0	1	0
ITGA5	0	0	1	0
ITGA6	0	0	1	0
ITGAL	0	0	1	0
ITGAM	0	0	1	0
ITGAV	0	0	1	0
ITGAX	0	0	1	0
ITGB3BP	0	0	0	1
ITGB7	0	0	1	0
ITGB8	0	0	1	0
ITM2A	0	0	1	0
ITPA	1	0	0	0
ITPKC	0	0	1	1
ITPRID2	0	0	1	0
ITSN1	0	0	1	0
IVD	0	1	0	0
JADE1	0	1	0	0
JAK1	0	0	1	0
JAK3	0	0	1	0
JAM3	1	1	0	0
JKAMP	0	1	0	0
JMJD1C	0	1	0	0
JMJD8	0	0	1	0
JOSD1	0	0	1	0
JTB	0	0	1	0
JUND	0	0	1	1
KARS1	1	0	0	0
KAT2B	0	0	1	0
KAT6B	0	0	0	1
KAT7	0	0	1	0
KAT8	0	0	1	0
KBTBD2	0	0	1	0
KBTBD6	0	0	1	0
KBTBD8	0	0	1	0
KCNC4	0	1	0	0
KCNK6	1	0	0	0
KCNMB1	0	0	1	0
KCNN4	1	0	0	0
KCTD2	0	0	1	0
KDM1B	0	0	1	0
KDM3A	0	0	1	0
KDSR	0	0	0	1
KHDRBS1	0	0	0	1
KIAA0319L	0	0	1	0
KIAA0586	0	0	1	0
KIAA0930	0	0	1	1
KIAA1109	0	0	1	0
KIAA1324	0	0	1	0
KIAA1586	0	0	1	0
KIF1B	0	0	1	0
KIF20B	1	0	0	0
KIF21B	0	0	1	0
KIF2A	0	0	1	0
KIF3B	0	0	1	0
KIF9	1	0	0	0
KIFAP3	0	0	1	1
KIR3DX1	1	0	1	0
KIZ	0	1	1	0
KLF4	0	0	1	0
KLF6	0	0	0	1
KLF7	1	0	1	0
KLF9	0	0	1	0
KLHL12	0	0	1	0
KLHL2	0	0	1	0
KLHL21	0	0	0	1
KLHL26	0	0	1	0
KLHL3	0	0	1	0
KLHL8	0	0	1	0
KLRB1	1	0	1	0
KLRD1	0	0	1	0
KLRG1	0	0	1	0
KMT5C	0	1	0	0
KPNA4	0	1	1	1
KPNA5	0	0	0	1
KRAS	0	0	1	0
KXD1	0	0	1	0
KYAT3	0	0	1	0
KYNU	0	0	1	0
L2HGDH	0	0	0	1
L3HYPDH	0	0	1	0
LACTB	0	0	0	1
LAIR1	0	0	1	0
LAIR2	0	0	1	0
LAMP2	0	0	0	1
LAMP3	0	0	0	1
LAP3	0	0	0	1
LAPTM4A	0	0	1	0
LAPTM4B	0	0	1	0
LARP1	0	0	1	0
LAS1L	1	0	0	0
LAT	0	0	1	0
LAT2	0	0	1	0
LAX1	0	0	1	0
LAYN	0	0	1	0
LCK	0	0	1	0
LCMT1	0	0	1	0
LCMT2	0	0	1	0
LCOR	0	0	1	0
LCP2	0	0	0	1
LDB1	0	0	1	0
LDHA	0	0	0	1
LDHB	0	0	1	0
LDLR	0	1	0	1
LEF1	0	0	1	0
LENG1	0	0	0	1
LEO1	0	0	0	1
LEPROTL1	0	0	1	0
LETMD1	0	0	1	0
LFNG	0	0	0	1
LGALS3BP	0	0	0	1
LGALS9	0	0	0	1
LGMN	0	0	1	0
LHFPL2	0	0	1	0
LHFPL5	0	0	1	0
LHPP	0	0	1	0
LIAS	0	0	0	1
LILRA2	0	0	1	0
LILRA5	0	0	1	0
LILRA6	0	0	1	0
LILRB2	0	0	1	0
LILRB3	0	0	1	0
LIMA1	0	0	1	0
LIMD2	0	0	1	0
LIME1	0	0	1	0
LIN7C	1	0	0	0
LINC00672	0	0	0	1
LINC00869	0	0	1	0
LINGO3	1	0	0	1
LIPA	0	0	1	1
LMAN2	0	0	0	1
LMBR1L	0	0	1	0
LMNB1	0	0	1	0
LMNB2	0	0	1	0
LNPEP	0	0	1	0
LNX2	0	0	1	1
LONP1	0	0	1	0
LONRF1	0	0	1	0
LPAL2	0	0	1	0
LPAR2	0	0	1	0
LPCAT1	0	0	1	0
LPCAT2	0	0	1	0
LPCAT4	1	0	1	0
LPGAT1	0	0	1	0
LPXN	0	0	1	0
LRBA	0	0	1	0
LRCH1	0	0	0	1
LRCH4	0	0	1	0
LRP1	0	0	1	0
LRP10	0	0	1	0
LRP8	0	0	1	0
LRRC2	0	0	1	1
LRRC25	0	0	1	0
LRRC27	1	1	0	0
LRRC32	0	0	1	0
LRRC37B	0	0	1	0
LRRC59	0	1	0	0
LRRC75A	0	0	1	0
LRRFIP2	0	0	1	0
LRRK1	0	0	1	0
LSM5	1	0	0	0
LSS	0	0	0	1
LST1	0	0	1	0
LTA	0	0	1	0
LTB	0	0	1	0
LTBP3	0	0	1	0
LTBP4	0	0	1	0
LTBR	0	0	1	0
LUC7L3	0	0	1	0
LY6G5B	0	0	1	0
LY9	0	0	1	0
LYN	0	0	1	0
LYRM9	0	0	1	0
LYZ	0	0	1	0
LZTS3	1	0	0	0
MAD1L1	0	0	1	0
MADD	0	0	1	0
MAF	0	0	1	0
MAFB	0	0	1	0
MAFF	0	0	1	0
MAFG	0	0	1	0
MAGED1	0	0	1	0
MAGEH1	0	0	1	0
MAGI2	0	0	1	0
MAGT1	1	0	0	0
MAK16	1	0	1	0
MAL	0	0	1	0
MAML2	0	0	1	0
MAN1A2	1	0	0	0
MANBA	0	0	1	0
MANBAL	0	0	1	0
MAP1LC3B	0	0	0	1
MAP2K3	0	0	1	1
MAP2K5	1	1	0	0
MAP2K7	0	1	0	1
MAP3K1	0	0	1	0
MAP3K2	0	0	1	0
MAP3K20	0	0	1	0
MAP3K4	0	0	0	1
MAP3K8	0	0	1	0
MAP4K1	0	0	1	0
MAP4K2	0	0	1	0
MAPK1	0	0	1	1
MAPK13	0	0	1	0
MAPK1IP1L	0	0	0	1
MAPK6	0	0	1	0
MAPRE2	0	1	0	1
MARCHF5	0	1	0	0
MARCHF8	0	0	1	0
MARCHF9	0	0	0	1
MARCKS	0	0	1	0
MARS1	1	0	0	0
MAST2	0	1	1	0
MAST4	0	0	1	0
MATK	1	0	0	0
MAX	0	0	1	0
MBD2	0	0	1	0
MBD3	0	0	1	0
MBD5	1	0	0	0
MBOAT7	0	0	1	0
MCAM	0	0	1	0
MCCC1	0	0	1	1
MCCC2	0	0	1	0
MCM2	0	0	1	0
MCM4	0	0	1	0
MCM5	0	0	1	0
MCMDC2	0	0	1	0
MCOLN1	0	0	1	0
MCTP1	0	0	1	0
MCTP2	1	1	1	0
MCTS1	0	0	1	0
MCUB	0	0	1	0
MDM2	0	1	0	0
MED15	0	0	1	0
MED21	0	1	0	0
MEFV	0	0	1	0
MEGF6	0	0	1	0
MEI1	0	0	1	0
METRNL	0	0	1	0
METTL14	0	0	1	0
METTL22	0	0	1	0
METTL7A	0	0	1	0
MFGE8	0	0	1	0
MFNG	0	0	1	0
MFSD1	0	0	1	0
MFSD11	0	0	1	0
MFSD2A	0	0	1	0
MFSD8	0	1	1	1
MGA	0	0	1	0
MGAT4B	0	0	1	0
MGLL	0	0	1	0
MIA2	0	0	1	0
MICAL1	1	0	1	0
MID1IP1	0	0	1	0
MIDEAS	0	0	0	1
MIGA1	0	0	0	1
MINDY3	0	1	1	0
MINK1	0	0	1	0
MKLN1	0	0	1	0
MKRN1	0	0	1	0
MLEC	0	0	1	0
MLF1	0	1	0	0
MLH1	0	0	1	0
MLH3	0	0	1	0
MLLT3	0	0	1	0
MMGT1	1	0	0	0
MNAT1	0	1	0	0
MOB1A	0	0	0	1
MOB1B	1	0	1	0
MOCS2	0	0	1	0
MOCS3	0	0	1	0
MOSPD1	0	0	1	0
MPEG1	0	0	1	1
MPG	0	0	1	0
MPHOSPH8	0	0	0	1
MPP1	0	0	1	0
MPP7	0	0	1	0
MREG	0	0	1	0
MRFAP1L1	0	0	1	0
MRI1	0	0	1	0
MRPL1	0	0	1	0
MRPL12	0	0	1	0
MRPL33	0	1	1	0
MRPL34	0	0	1	0
MRPL35	0	0	1	0
MRPL37	0	0	1	0
MRPL52	0	0	1	0
MRPL53	0	0	1	0
MRPL58	0	0	1	0
MRPS15	0	0	1	0
MRPS21	0	0	1	0
MRPS33	0	0	1	0
MRTFA	0	0	0	1
MRTFB	0	0	1	0
MS4A1	1	0	1	0
MS4A4E	0	0	1	0
MS4A6A	0	0	1	0
MS4A7	0	0	1	0
MSC	0	0	1	1
MSH5	0	0	1	0
MSH6	0	1	0	0
MSL1	0	0	0	1
MSL2	0	0	1	0
MSL3	0	0	1	0
MT-ATP6	1	0	1	0
MT-ATP8	1	0	1	0
MT-CO1	0	0	1	0
MT-CO2	1	0	1	0
MT-CO3	1	0	0	0
MT-CYB	1	0	1	0
MT-ND1	1	0	1	0
MT-ND2	1	0	1	0
MT-ND3	1	0	1	0
MT-ND4	1	0	1	0
MT-ND4L	1	0	1	0
MT-ND5	1	0	1	0
MT-ND6	0	1	1	0
MT1X	0	0	1	0
MTAP	0	0	1	0
MTCH2	0	0	1	0
MTERF1	0	0	1	0
MTERF4	0	0	1	0
MTFR1L	0	0	1	0
MTG1	1	0	0	0
MTHFD2	0	0	0	1
MTHFD2L	0	0	1	0
MTIF2	0	0	1	0
MTIF3	0	0	1	1
MTMR2	0	0	1	0
MTMR9	0	0	1	0
MTND1P23	1	0	0	0
MTRES1	0	0	0	1
MTRF1	0	0	1	0
MTRNR2L1	1	0	1	0
MTRNR2L10	1	0	1	0
MTRNR2L11	1	0	1	0
MTRNR2L12	1	0	1	0
MTRNR2L3	0	0	1	0
MTRNR2L4	1	0	1	0
MTRNR2L6	1	0	1	0
MTRNR2L8	1	0	1	0
MTSS1	0	0	1	0
MX1	0	0	0	1
MX2	0	0	0	1
MXD1	0	0	1	0
MXD4	0	0	1	0
MYADM	0	0	1	1
MYBL2	0	0	1	0
MYC	0	0	0	1
MYD88	0	0	0	1
MYDGF	0	0	1	0
MYH11	0	0	0	1
MYO18A	0	0	1	0
MYO1G	0	0	1	0
MYO9A	0	0	1	0
MYO9B	0	0	1	0
MZT1	1	0	0	0
MZT2A	0	0	1	0
N4BP1	0	0	0	1
N4BP2	0	0	1	0
N4BP2L1	0	0	1	0
NAA30	1	0	0	0
NAA80	0	0	1	0
NACA	0	0	1	0
NADSYN1	1	0	1	0
NAGA	0	0	1	0
NAGK	0	0	1	0
NAGLU	1	0	0	0
NAIP	0	0	1	0
NAMPT	0	0	0	1
NAP1L4	0	0	1	0
NAPA	0	1	0	1
NAPB	0	1	0	0
NARF	0	0	1	0
NARS2	0	1	0	0
NAXD	0	0	1	0
NBAS	0	0	0	1
NBDY	0	0	1	0
NBPF10	0	0	1	0
NBR1	0	0	1	0
NCALD	1	0	1	0
NCBP2	0	0	1	0
NCF1	0	0	1	0
NCF2	0	0	1	0
NCF4	0	0	1	0
NCKAP1	1	0	0	0
NCKAP1L	1	0	0	0
NCKAP5L	0	0	1	0
NCLN	0	0	1	0
NCOA4	0	0	0	1
NCOA6	0	0	1	0
NCR3	0	0	1	0
NDC1	0	0	1	0
NDEL1	0	0	0	1
NDRG1	0	0	0	1
NDUFA10	0	1	1	0
NDUFA4	0	0	1	0
NDUFA7	0	1	0	0
NDUFAF7	0	0	1	0
NDUFB5	0	0	1	0
NDUFB8	0	0	1	0
NDUFS4	0	0	1	0
NDUFV2	0	0	1	0
NECAP2	0	0	1	0
NEDD9	0	0	0	1
NEK4	0	0	1	0
NEK6	0	0	1	0
NEK8	1	0	0	0
NELFE	0	0	1	0
NEMF	0	1	0	1
NEMP1	0	0	1	0
NEPRO	0	0	1	0
NF1	0	0	1	0
NFAM1	0	0	1	0
NFATC2IP	0	0	1	0
NFATC3	0	0	1	0
NFE2L2	0	0	1	0
NFIL3	0	0	1	1
NFKB1	0	0	1	1
NFKB2	0	0	0	1
NFKBIA	0	0	1	1
NFKBID	0	0	1	0
NFKBIE	0	0	1	0
NFRKB	0	0	1	0
NFU1	0	0	1	0
NFYA	1	1	0	1
NFYC	0	0	0	1
NHEJ1	0	0	1	0
NHLRC3	1	0	0	0
NIBAN3	1	0	1	0
NICN1	0	0	1	0
NINJ1	0	0	1	1
NIPAL2	0	0	1	0
NIPAL3	0	0	1	0
NIPSNAP2	0	0	1	0
NIT2	0	0	1	0
NKIRAS2	0	0	1	0
NKTR	0	0	0	1
NLRC3	0	0	1	0
NLRC5	0	0	1	0
NLRP1	0	0	1	0
NLRP3	0	0	1	0
NME1	0	0	1	0
NME3	0	0	1	0
NME6	0	1	0	0
NME7	0	0	0	1
NMT1	0	1	0	0
NOA1	0	0	1	0
NOC2L	0	0	1	0
NOD1	0	0	1	0
NOD2	0	0	1	0
NOP10	1	0	0	0
NOP14	1	0	0	0
NOP58	0	0	1	0
NOSIP	0	0	1	0
NOTCH2	0	0	1	0
NOTCH2NLA	0	0	1	0
NOTCH2NLC	0	0	1	0
NPC2	0	0	1	0
NPDC1	0	0	1	0
NPEPL1	1	0	0	0
NPEPPS	0	0	1	0
NPIPA1	0	0	1	0
NPIPB12	0	0	1	0
NPIPB13	0	0	0	1
NPIPB14P	0	0	1	0
NPIPB3	0	0	1	0
NPLOC4	1	0	0	0
NPM1	0	0	1	0
NQO2	0	0	1	0
NR1D2	0	1	0	0
NR2C1	0	0	1	0
NR4A2	0	0	1	0
NRAS	0	0	0	1
NRBP1	0	1	0	0
NRIP2	0	0	1	0
NRIP3	0	0	1	0
NRSN1	0	0	1	0
NSA2	0	0	1	0
NSD1	0	0	0	1
NSD3	0	0	1	0
NSFL1C	0	0	0	1
NSL1	0	1	0	0
NSMAF	0	0	1	0
NSMCE1	0	0	1	0
NSUN3	0	1	0	0
NSUN5P1	0	0	1	0
NT5C	0	0	1	0
NT5C3A	0	0	1	0
NT5DC1	0	0	1	0
NTAN1	0	0	1	0
NUCB1	0	0	1	0
NUDCD3	0	0	1	0
NUDT1	0	0	1	0
NUDT21	0	0	1	0
NUMB	0	0	1	0
NUP160	0	0	1	0
NUP205	1	0	0	1
NUP210	0	0	1	0
NUP58	0	0	1	0
NUP85	0	0	0	1
NUP93	1	0	0	0
NVL	0	0	0	1
NXPE3	0	0	1	0
NXT2	0	0	0	1
OAS1	0	1	0	1
OAS2	0	1	0	1
OAS3	0	1	0	1
OASL	1	1	0	1
OAZ1	0	0	0	1
OAZ2	0	0	1	0
OCIAD2	0	0	1	0
ODF2	0	0	1	1
ODF3B	0	0	1	0
OGFRL1	0	0	1	0
OGT	1	0	1	0
OPHN1	0	0	1	0
OPTN	0	0	1	0
OR2B11	0	0	1	0
OR6D1P	0	0	1	0
ORAI2	0	0	1	0
ORC6	0	0	1	0
ORMDL1	0	0	1	0
ORMDL3	0	0	1	0
OSBP	0	0	1	0
OSBPL10	1	0	1	0
OSBPL9	0	0	1	0
OSER1	0	0	1	0
OSGIN2	1	0	0	0
OSM	0	0	1	0
OST4	0	0	1	0
OSTM1	1	0	0	0
OTUD1	0	0	1	1
OTULIN	0	0	1	0
OXLD1	0	0	1	0
P2RX5	1	0	0	0
P2RX7	0	0	1	0
P4HB	0	0	1	0
P4HTM	0	0	1	0
PABPC1L	0	0	1	0
PACS1	0	0	1	0
PACS2	1	0	1	0
PACSIN2	0	0	1	0
PAF1	0	1	0	0
PAFAH1B1	0	0	1	0
PAIP2	0	0	1	0
PAK1	0	0	1	0
PAK1IP1	0	0	1	0
PARD6G	0	0	1	0
PARK7	0	0	1	0
PARP12	0	0	1	0
PARP15	0	0	1	0
PARP4	0	0	1	0
PATL2	0	0	1	0
PBXIP1	0	0	1	0
PCED1B	0	0	1	0
PCF11	0	0	1	0
PCID2	0	0	0	1
PCNX2	0	0	0	1
PCNX4	0	0	1	0
PCSK7	1	0	1	0
PCYOX1L	0	0	1	0
PDAP1	0	0	1	0
PDCD10	0	0	1	0
PDCL3	0	0	1	0
PDE4B	0	0	0	1
PDE4D	0	0	1	0
PDE4DIP	0	0	1	0
PDIA3	0	0	1	0
PDIA6	0	0	1	0
PDK1	0	0	1	0
PDLIM2	0	0	1	0
PDLIM5	0	0	1	0
PDP2	0	0	0	1
PDPK1	0	0	1	0
PDXDC2P	0	0	1	0
PDXK	0	0	0	1
PDXP	0	0	1	1
PDZD11	0	0	1	0
PECAM1	0	0	1	0
PELI1	0	0	0	1
PELI2	0	0	1	0
PEX2	0	0	1	0
PFDN4	0	0	1	0
PFKL	0	0	1	0
PGAM5	0	0	1	0
PGAP3	0	0	1	0
PGD	0	0	1	0
PGK1	0	0	0	1
PGM3	0	1	0	0
PGRMC2	0	0	1	0
PGS1	0	0	1	0
PHACTR1	0	0	1	0
PHACTR2	0	0	1	0
PHAX	0	0	1	0
PHC3	0	0	1	0
PHF12	0	0	1	0
PHF3	0	0	1	0
PHF7	0	1	0	0
PHF8	0	0	1	0
PHLDA1	0	0	1	0
PHLDB1	0	0	1	0
PHTF2	0	0	1	0
PIDD1	1	0	0	0
PIGQ	1	0	0	0
PIGS	0	1	0	0
PIH1D1	0	0	1	0
PIK3AP1	0	0	1	0
PIK3CB	1	0	1	0
PIK3R1	0	0	1	0
PILRA	0	0	1	1
PIM1	0	0	0	1
PIM2	0	0	0	1
PINX1	1	0	0	0
PIP4K2B	0	0	1	0
PIP4K2C	0	0	1	0
PITPNA	0	0	1	0
PITPNB	0	0	1	0
PITPNM2	0	0	1	0
PJA1	0	0	1	0
PKD1	1	0	0	0
PLA2G4C	0	0	1	0
PLA2G6	1	0	1	0
PLAA	0	0	0	1
PLAAT4	0	0	1	0
PLAUR	0	0	1	0
PLBD1	0	0	1	0
PLCE1	0	0	1	0
PLCG1	0	0	1	0
PLCG2	1	0	0	0
PLCH2	1	0	1	0
PLCXD1	0	0	1	0
PLCXD2	0	0	1	0
PLEK	0	0	1	0
PLEKHA1	0	0	1	0
PLEKHB2	0	0	0	1
PLEKHF1	0	0	1	0
PLEKHM2	0	0	1	0
PLEKHM3	0	0	1	0
PLIN3	0	0	1	0
PLOD1	0	0	1	0
PLOD3	0	0	1	0
PLP2	0	0	0	1
PLPP5	1	0	0	0
PLSCR1	0	0	1	1
PLSCR3	0	0	1	0
PLXDC1	0	0	1	0
PLXDC2	0	0	1	0
PLXNA3	1	0	1	0
PLXNB2	0	0	1	0
PLXNC1	0	0	1	0
PM20D2	0	0	1	1
PMF1	0	0	1	0
PML	0	0	0	1
PMM1	0	0	1	0
PNISR	0	0	1	0
PNN	0	0	0	1
PNP	0	0	1	1
PNPLA7	0	0	1	0
PNRC1	1	1	0	1
PNRC2	1	0	0	0
POC5	0	0	1	0
POGLUT3	0	0	1	0
POLA2	0	1	0	0
POLD4	0	0	1	0
POLE3	0	0	1	0
POLG2	0	0	1	1
POLL	0	0	1	0
POLR1D	0	0	1	0
POLR2B	0	0	1	0
POLR2G	0	0	1	0
POLR2H	0	0	1	1
POLR3E	0	0	1	0
POLR3GL	0	0	1	0
POLRMT	0	1	0	1
POM121	0	0	1	0
POMT1	0	0	1	1
PORCN	0	0	1	0
POT1	0	0	1	0
PPCDC	0	0	1	0
PPIF	0	0	1	0
PPIL4	1	0	0	0
PPM1F	0	0	1	0
PPM1G	0	0	1	0
PPOX	0	0	1	0
PPP1CB	0	1	0	0
PPP1CC	0	0	1	0
PPP1R10	0	0	1	0
PPP1R11	1	0	0	0
PPP1R12A	0	0	1	0
PPP1R15B	0	0	0	1
PPP1R18	0	0	1	0
PPP1R21	0	0	1	0
PPP1R35	1	1	1	1
PPP1R3F	0	0	1	0
PPP1R7	0	0	1	0
PPP1R8	0	0	1	0
PPP2CA	0	1	0	0
PPP2R1A	0	1	0	1
PPP2R2D	0	0	1	0
PPP2R5C	0	0	1	0
PPP2R5D	0	0	1	0
PPP3CA	1	0	0	0
PPP3CB	0	0	1	0
PPP6R3	0	0	1	0
PPT1	0	0	1	0
PPTC7	1	0	0	0
PPWD1	0	0	1	0
PRAF2	0	0	1	0
PRCP	0	0	0	1
PRDM10	0	0	1	0
PRDM2	0	0	1	0
PRELID1	0	0	1	0
PREX1	0	0	1	0
PRKAA1	0	0	1	0
PRKACB	0	0	1	0
PRKAG2	0	0	1	0
PRKCD	0	0	1	0
PRKCH	0	0	1	0
PRKCQ	0	0	1	0
PRKCSH	0	0	1	0
PRKD2	0	0	1	0
PRKD3	0	0	1	0
PRMT9	0	0	1	0
PRNP	0	0	0	1
PRORP	0	0	1	0
PROSER1	0	0	1	0
PRPF3	0	0	1	0
PRPF38B	0	0	1	0
PRPF4B	0	0	1	0
PRPS1	0	0	1	0
PRPSAP1	0	0	1	0
PRPSAP2	0	0	1	1
PRR13	0	0	1	0
PRR14	1	0	0	0
PRR29	1	1	0	0
PRSS23	0	0	1	0
PRXL2B	0	0	1	0
PRXL2C	0	0	1	0
PSAP	0	0	1	0
PSD4	0	0	1	0
PSEN1	0	0	1	0
PSIP1	0	0	1	0
PSKH1	0	0	1	0
PSMA6	0	0	0	1
PSMB4	0	0	1	0
PSMB8	0	1	0	0
PSMC1	0	0	1	0
PSMC6	0	1	0	0
PSMD1	0	0	1	0
PSMD14	1	1	0	0
PSMD8	0	0	0	1
PSMD9	0	1	0	0
PSME4	0	0	1	0
PSMG1	0	0	1	0
PTAFR	0	0	1	0
PTBP3	1	0	0	0
PTCD2	0	0	1	0
PTEN	0	0	0	1
PTGES3	1	0	0	0
PTGS2	0	0	1	0
PTK2	0	0	1	0
PTPA	0	1	0	0
PTPN1	0	0	0	1
PTPN12	0	0	1	0
PTPN22	0	0	1	0
PTPN4	0	0	1	0
PTPN7	0	0	1	0
PTPRC	0	0	1	0
PTPRCAP	0	0	1	0
PTPRE	0	0	1	0
PTPRO	0	0	1	0
PTRHD1	0	0	1	0
PURA	0	0	1	0
PURB	0	0	1	0
PUS3	0	1	0	0
PVRIG	0	0	1	0
PXN	0	0	1	0
PYHIN1	0	0	1	0
PYM1	0	0	1	0
QARS1	0	0	1	0
QKI	0	0	1	1
QTRT1	0	0	0	1
R3HDM2	0	0	1	0
RAB11A	0	0	0	1
RAB11FIP5	0	0	1	0
RAB14	0	0	1	0
RAB24	0	0	1	0
RAB29	0	0	1	0
RAB31	0	0	1	0
RAB33A	0	0	1	0
RAB33B	0	0	1	0
RAB37	0	0	1	0
RAB3GAP1	1	0	0	0
RAB5A	0	0	0	1
RAB5B	0	0	1	0
RAB6A	0	0	1	0
RAB7A	0	0	0	1
RAB9A	0	0	1	1
RABGEF1	0	0	1	1
RABGGTA	0	0	1	0
RAC1	0	0	1	0
RAC2	0	0	1	0
RACK1	0	0	1	0
RAD1	0	0	0	1
RAD50	0	0	1	0
RALGPS2	1	0	0	0
RALY	0	0	0	1
RANBP3	0	1	0	0
RANBP6	1	0	0	0
RAP1A	0	0	1	0
RAP1B	0	0	0	1
RAP1GDS1	0	0	1	0
RAP2B	0	0	1	0
RAPGEF2	1	0	1	1
RASA3	0	0	1	0
RASA4CP	0	0	1	0
RASAL3	0	0	1	0
RASGEF1B	1	0	1	0
RASGRF2	0	0	1	0
RASGRP2	0	0	1	0
RASGRP3	0	0	1	0
RASSF5	0	0	1	0
RAVER1	0	0	0	1
RB1CC1	0	0	1	0
